imagecol,imagerow,cluster.init
188,257,1
269,141,3
232,90,3
66,53,6
225,8,5
126,196,1
232,7,5
273,62,4
244,54,4
107,312,0
75,47,6
135,190,1
163,25,5
285,26,5
188,208,1
71,274,0
99,276,0
83,34,6
196,127,2
203,126,2
264,5,5
159,34,5
67,283,0
180,89,3
328,92,5
79,43,6
208,8,5
192,229,1
167,21,5
215,7,5
207,122,2
281,11,5
248,243,2
184,193,1
176,15,5
188,238,1
269,122,3
82,276,0
219,86,3
292,129,4
179,127,2
138,140,2
94,36,6
276,174,3
236,54,4
212,4,5
219,3,5
180,202,1
183,265,1
324,77,5
54,56,6
163,89,3
284,93,4
243,215,2
191,8,5
175,53,4
110,301,0
296,150,4
268,139,3
190,122,2
65,51,6
247,210,2
321,74,5
288,114,4
202,86,3
243,166,2
272,159,3
114,25,6
186,48,4
248,224,2
171,189,1
325,95,5
292,110,4
317,59,5
247,240,2
284,74,4
72,280,0
42,65,6
243,196,2
49,64,6
169,131,2
251,6,5
287,82,4
247,191,2
93,34,6
154,189,1
81,280,0
235,52,4
288,95,4
181,12,5
255,110,3
272,140,3
292,140,4
53,60,6
179,55,4
145,15,6
222,126,2
239,156,2
258,118,3
80,25,6
150,32,5
242,163,2
234,6,5
247,221,2
137,189,1
287,25,5
76,34,6
64,280,0
278,69,4
165,25,5
73,274,0
290,33,5
170,125,2
161,34,5
182,89,3
189,88,3
274,178,3
169,21,5
247,251,2
267,55,4
251,100,3
185,14,5
177,278,1
109,292,0
193,84,3
165,89,3
172,88,3
149,134,2
156,133,2
67,50,6
250,55,4
181,274,1
298,150,4
116,24,6
273,146,3
249,210,2
188,47,4
294,159,4
274,159,3
125,18,6
84,31,6
270,6,5
241,174,2
180,187,1
254,51,4
245,95,3
173,189,1
310,65,5
176,196,1
294,110,4
180,266,1
257,59,4
268,124,3
136,13,6
188,253,1
322,66,5
225,87,3
99,321,0
264,133,3
139,42,5
120,200,1
253,6,5
237,51,4
249,191,2
156,189,1
326,87,5
103,317,0
268,154,3
241,155,2
297,147,4
208,87,3
120,26,6
260,118,3
244,163,2
236,6,5
220,51,4
201,126,2
249,221,2
139,189,1
309,62,5
316,61,5
264,114,3
180,198,1
281,82,4
231,46,4
191,87,3
50,61,6
203,51,4
184,126,2
235,150,2
99,35,6
187,13,5
269,55,4
252,4,5
305,47,5
162,185,1
46,70,6
253,100,3
272,62,4
214,46,4
61,281,0
73,41,6
224,136,2
57,290,0
207,85,3
297,158,4
82,35,6
69,50,6
235,4,5
65,277,0
243,99,3
219,49,4
134,16,6
279,4,5
296,34,5
313,64,5
191,230,1
166,22,5
190,47,4
280,79,4
247,94,3
181,91,3
86,31,6
206,123,2
292,43,5
259,58,4
190,85,3
231,140,2
138,12,6
284,7,5
315,72,5
182,266,1
49,290,0
227,87,3
181,204,1
101,321,0
227,4,5
165,187,1
288,28,5
186,262,1
133,194,1
191,211,1
267,7,5
198,123,2
251,52,4
243,155,2
154,31,5
142,188,1
161,30,5
210,87,3
274,174,3
210,4,5
170,24,5
194,49,4
278,2,5
279,15,5
263,60,4
234,52,4
295,132,4
243,185,2
182,198,1
43,67,6
319,74,5
246,192,2
112,203,1
286,89,4
270,134,3
226,84,3
108,33,6
52,61,6
185,206,1
177,49,4
140,39,5
261,2,5
91,275,0
101,35,6
145,139,2
266,143,3
273,142,3
189,13,5
307,47,5
164,185,1
274,62,4
291,92,4
294,155,4
198,7,5
96,278,0
160,132,2
209,84,3
270,164,3
121,23,6
200,128,2
241,249,2
295,113,4
273,172,3
246,173,2
245,245,2
282,79,4
318,71,5
249,94,3
266,124,3
79,278,0
192,84,3
233,139,2
116,205,1
176,129,2
294,43,5
268,57,4
285,87,4
252,102,3
147,11,6
258,5,5
100,32,6
286,100,4
188,10,5
248,49,4
262,109,3
232,94,3
74,38,6
213,86,3
225,133,2
241,5,5
135,194,1
83,32,6
71,278,0
225,50,4
106,279,0
144,188,1
126,20,6
184,246,1
172,24,5
187,254,1
196,86,3
224,88,3
281,15,5
224,5,5
176,19,5
265,60,4
284,22,5
301,52,5
208,50,4
106,309,0
192,12,5
187,205,1
184,276,1
50,287,0
151,130,2
102,318,0
219,128,2
243,219,2
77,27,6
190,213,1
59,281,0
93,275,0
179,86,3
147,139,2
163,131,2
231,92,3
71,41,6
78,40,6
65,55,6
191,50,4
127,14,6
130,21,6
74,49,6
187,235,1
162,27,5
167,127,2
202,128,2
243,249,2
106,290,0
195,46,4
248,173,2
317,63,5
184,257,1
271,180,3
214,9,5
280,12,5
178,271,1
