imagecol,imagerow,label
148,199,1
184,212,1
111,303,0
269,141,3
232,90,3
66,53,6
209,53,4
216,52,4
244,54,4
107,312,0
75,47,6
285,26,5
163,25,5
62,62,6
122,205,1
71,274,0
83,34,6
196,127,2
203,126,2
111,36,6
156,27,5
71,56,6
118,35,6
264,5,5
131,199,1
184,242,1
159,34,5
183,59,4
180,89,3
328,92,5
120,30,6
79,43,6
127,29,6
301,10,6
175,199,1
208,8,5
256,62,4
329,105,5
192,53,4
199,52,4
110,271,0
207,122,2
281,11,5
172,271,1
304,18,6
111,284,0
178,207,1
269,122,3
154,95,3
243,136,2
219,86,3
272,129,3
179,127,2
94,36,6
276,174,3
236,54,4
212,4,5
219,3,5
180,202,1
324,77,5
334,108,5
284,93,4
150,104,3
239,145,2
243,215,2
158,199,1
191,8,5
110,301,0
268,139,3
190,122,2
65,51,6
184,223,1
321,74,5
288,114,4
202,86,3
243,166,2
272,159,3
202,3,5
333,63,6
175,259,1
325,95,5
292,110,4
76,271,0
320,29,6
109,206,1
317,59,5
174,197,1
171,268,1
328,103,5
49,64,6
243,196,2
102,208,1
169,131,2
251,6,5
323,37,6
296,131,4
235,135,2
307,20,6
93,34,6
163,62,4
238,142,2
170,61,4
235,52,4
288,95,4
272,140,3
53,60,6
276,185,3
179,55,4
145,15,6
157,197,1
267,74,4
284,104,4
222,126,2
308,46,5
150,32,5
242,163,2
234,6,5
76,34,6
287,25,5
64,280,0
218,52,4
271,70,4
130,107,3
137,106,3
165,25,5
73,274,0
177,248,1
290,33,5
170,125,2
161,34,5
258,61,4
182,89,3
189,88,3
274,178,3
169,21,5
331,105,5
261,69,4
251,100,3
133,24,6
185,14,5
306,18,6
169,59,4
109,292,0
221,123,2
52,283,0
165,89,3
172,88,3
112,300,0
149,134,2
156,133,2
160,199,1
67,50,6
250,55,4
273,146,3
274,159,3
123,140,2
84,31,6
137,200,1
96,213,1
241,174,2
119,32,6
245,95,3
132,134,2
139,133,2
177,259,1
176,196,1
294,110,4
257,59,4
330,102,5
87,264,0
268,124,3
297,117,4
111,206,1
322,66,5
112,281,0
225,87,3
176,275,1
274,189,3
241,204,2
180,217,1
237,51,4
298,131,4
301,138,4
273,127,3
262,0,5
172,61,4
240,142,2
326,87,5
103,317,0
274,140,3
224,125,2
241,155,2
268,154,3
297,147,4
264,1,5
286,104,4
208,87,3
244,163,2
236,6,5
313,53,5
180,247,1
220,51,4
330,83,5
176,94,3
127,142,2
201,126,2
75,273,0
188,58,4
139,106,3
176,256,1
316,61,5
264,114,3
276,77,4
241,185,2
231,129,2
180,198,1
281,82,4
191,87,3
50,61,6
176,207,1
110,204,1
86,268,0
203,51,4
159,94,3
297,128,4
184,126,2
99,35,6
187,13,5
308,17,6
252,4,5
305,47,5
325,47,6
171,58,4
253,100,3
244,144,2
163,198,1
180,228,1
183,22,5
61,281,0
332,121,5
223,123,2
97,270,0
207,85,3
82,35,6
167,194,1
224,53,4
69,50,6
235,4,5
182,236,1
65,277,0
243,99,3
219,49,4
126,140,2
138,103,3
279,4,5
146,198,1
296,34,5
313,64,5
316,34,6
166,22,5
74,271,0
247,94,3
181,91,3
86,31,6
206,123,2
130,25,6
179,258,1
259,58,4
276,88,4
190,85,3
150,194,1
332,102,5
305,20,6
333,115,5
141,20,6
324,66,5
227,87,3
181,204,1
227,4,5
308,28,6
279,196,3
182,217,1
288,28,5
272,73,4
331,57,6
101,272,0
185,225,1
198,123,2
251,52,4
243,155,2
299,147,4
73,52,6
154,31,5
161,30,5
129,203,1
210,87,3
274,174,3
210,4,5
125,33,6
170,24,5
315,53,5
182,247,1
138,197,1
278,2,5
134,27,6
299,15,6
279,15,5
190,58,4
178,256,1
234,52,4
295,132,4
243,185,2
319,74,5
246,192,2
270,134,3
52,61,6
226,1,5
185,206,1
261,2,5
161,94,3
282,98,4
299,128,4
101,35,6
273,142,3
189,13,5
307,47,5
173,58,4
100,269,0
285,106,4
278,200,3
165,198,1
198,7,5
197,121,2
160,132,2
270,164,3
209,1,5
295,113,4
128,139,2
273,172,3
246,173,2
117,32,6
173,264,1
83,269,0
140,103,3
147,102,3
298,34,5
318,71,5
249,94,3
266,124,3
116,205,1
176,129,2
277,13,5
91,38,6
252,102,3
258,5,5
152,194,1
269,70,4
286,100,4
188,10,5
264,66,4
143,20,6
334,56,6
262,109,3
232,94,3
229,124,2
310,28,6
274,73,4
213,86,3
241,88,3
241,5,5
83,32,6
95,214,1
225,50,4
135,111,3
106,279,0
131,203,1
184,246,1
172,24,5
156,69,4
199,56,4
196,86,3
224,88,3
95,40,6
281,15,5
224,5,5
176,19,5
304,22,6
284,22,5
208,50,4
167,63,4
106,309,0
192,12,5
63,272,0
176,57,4
268,68,4
334,112,5
151,130,2
102,318,0
219,128,2
243,219,2
228,1,5
309,25,6
183,214,1
59,281,0
110,305,0
179,86,3
163,131,2
231,92,3
78,40,6
65,55,6
184,227,1
102,269,0
293,9,6
130,21,6
74,49,6
296,16,6
162,27,5
167,127,2
130,138,2
211,1,5
175,263,1
183,244,1
146,131,2
126,31,6
317,63,5
280,12,5
174,201,1
178,271,1
171,272,1
85,269,0
328,107,5
243,200,2
272,193,3
323,41,6
303,41,5
320,71,5
271,131,3
118,205,1
239,209,2
275,201,3
238,146,2
181,16,5
323,79,5
272,144,3
162,91,3
333,48,6
179,59,4
145,19,6
197,9,5
291,107,4
68,269,0
247,57,4
80,29,6
242,167,2
166,195,1
267,116,3
271,161,3
178,252,1
295,35,5
315,35,6
332,65,6
134,140,2
243,181,2
272,174,3
279,80,4
243,5,5
129,136,2
97,214,1
227,50,4
174,261,1
146,104,3
275,182,3
238,127,2
242,197,2
149,195,1
